"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","23485824684","Espinosa Santamaria, Mohamed","24/03/1997","Royo Guzman, Blanca","+34 XXXXXXX","+34 XXXXXXX","mohamed@mailintaor.com","Pascual Miro, Pablo","+34 XXXXZZZZ","+34 XXXXLLL","blanca@mailintaor.com","c/ de l'aviador Pablo Pascual Miro","L'Armentera","Albanyà","mohamed@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","15322154650","Sanchez Vicente, Sara","03/09/1996","Serrano Palau, Nerea","+34 XXXXXXX","+34 XXXXXXX","sara@mailintaor.com","Lazaro Prats, Ferran","+34 XXXXZZZZ","+34 XXXXLLL","nerea@mailintaor.com","c/ de l'aviador Ferran Lazaro Prats","L'Armentera","Albanyà","sara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","47735327390","Bravo Segura, Joan","21/11/1995","Juan Beltran, Eloi","+34 XXXXXXX","+34 XXXXXXX","joan@mailintaor.com","Valencia Colomer, Arlet","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Arlet Valencia Colomer","L'Armentera","Albanyà","joan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","86372517692","Rosell Requena, Biel","09/02/1996","Camacho Collado, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","biel@mailintaor.com","Quesada Hurtado, Nora","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Nora Quesada Hurtado","L'Armentera","Albanyà","biel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","81447433741","Bermudez Perez, Mohamed","22/11/1993","Acosta Murillo, Isaac","+34 XXXXXXX","+34 XXXXXXX","mohamed@mailintaor.com","Sans Guzman, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","isaac@mailintaor.com","c/ de l'aviador Miguel Sans Guzman","L'Armentera","Albanyà","mohamed@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","73046396754","Alonso Ruiz, Arlet","24/12/1992","Marin Cabello, Adrián","+34 XXXXXXX","+34 XXXXXXX","arlet@mailintaor.com","Alcaraz Sans, Ivet","+34 XXXXZZZZ","+34 XXXXLLL","adrian@mailintaor.com","c/ de l'aviador Ivet Alcaraz Sans","L'Armentera","Albanyà","arlet@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","42469595774","Aguilar Macias, Rayan","21/12/1994","Ramos Simon, Aitor","+34 XXXXXXX","+34 XXXXXXX","rayan@mailintaor.com","Gimeno Ferrer, Alan","+34 XXXXZZZZ","+34 XXXXLLL","aitor@mailintaor.com","c/ de l'aviador Alan Gimeno Ferrer","L'Armentera","Albanyà","rayan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","75482654103","Sala Guerrero, Leyre","04/10/1997","Ribas Aparicio, Marwa","+34 XXXXXXX","+34 XXXXXXX","leyre@mailintaor.com","Cano Serra, Guillem","+34 XXXXZZZZ","+34 XXXXLLL","marwa@mailintaor.com","c/ de l'aviador Guillem Cano Serra","L'Armentera","Albanyà","leyre@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","23430958991","Guillen Ferre, Alexandra","25/04/1994","Mir Herrera, Jan","+34 XXXXXXX","+34 XXXXXXX","alexandra@mailintaor.com","Busquets Rubio, Marta","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Marta Busquets Rubio","L'Armentera","Albanyà","alexandra@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","18819194746","Planas Contreras, Oriol","20/10/1996","Franco Pallares, Martí","+34 XXXXXXX","+34 XXXXXXX","oriol@mailintaor.com","Bernal Alsina, Alejandro","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Alejandro Bernal Alsina","L'Armentera","Albanyà","oriol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","64568819373","Espinosa Soriano, Marcos","01/02/1996","Cruz Bosch, Martí","+34 XXXXXXX","+34 XXXXXXX","marcos@mailintaor.com","Maldonado Gomez, Arlet","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Arlet Maldonado Gomez","L'Armentera","Albanyà","marcos@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","62174633001","Santiago Lozano, Ayman","15/02/1992","Casanova Nuñez, Lucía","+34 XXXXXXX","+34 XXXXXXX","ayman@mailintaor.com","Peña Moreno, Carla","+34 XXXXZZZZ","+34 XXXXLLL","lucia@mailintaor.com","c/ de l'aviador Carla Peña Moreno","L'Armentera","Albanyà","ayman@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","83638391048","Singh Viñas, Adrià","13/08/1996","Planas Valverde, Alexandra","+34 XXXXXXX","+34 XXXXXXX","adria@mailintaor.com","Marin Exposito, Jaume","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Jaume Marin Exposito","L'Armentera","Albanyà","adria@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
